iter	Passed	Remaining
572	4841	3607
573	4853	3602
574	4860	3592
575	4868	3583
576	4876	3575
577	4883	3565
578	4890	3555
579	4898	3547
580	4909	3540
581	4916	3531
582	4923	3521
583	4930	3512
584	4939	3504
585	4946	3494
586	4953	3485
587	4962	3476
588	4970	3468
589	4978	3459
590	4984	3449
591	4996	3443
592	5007	3436
593	5014	3427
594	5022	3418
595	5031	3410
596	5039	3402
597	5049	3394
598	5056	3384
599	5065	3377
600	5073	3367
601	5079	3358
602	5087	3349
603	5097	3342
604	5108	3335
605	5117	3326
606	5129	3320
607	5140	3314
608	5147	3304
609	5159	3298
610	5169	3291
611	5176	3281
612	5186	3274
613	5193	3264
614	5202	3256
615	5212	3249
616	5221	3240
617	5228	3231
618	5235	3222
619	5243	3213
620	5252	3205
621	5262	3198
622	5270	3189
623	5277	3179
624	5288	3173
625	5298	3165
626	5310	3159
627	5320	3151
628	5326	3141
629	5333	3132
630	5341	3123
631	5349	3114
632	5355	3105
633	5362	3095
634	5369	3086
635	5379	3078
636	5385	3069
637	5392	3059
638	5399	3050
639	5411	3043
640	5421	3036
641	5429	3027
642	5442	3021
643	5449	3012
644	5455	3002
645	5462	2993
646	5472	2985
647	5479	2976
648	5487	2968
649	5501	2962
650	5509	2953
651	5516	2944
652	5522	2934
653	5534	2927
654	5543	2920
655	5554	2912
656	5565	2905
657	5574	2897
658	5581	2887
659	5590	2879
660	5597	2870
661	5606	2862
662	5614	2853
663	5623	2845
664	5632	2837
665	5640	2828
666	5646	2819
667	5660	2813
668	5667	2804
669	5674	2794
670	5684	2787
671	5694	2779
672	5704	2771
673	5713	2763
674	5722	2755
675	5728	2745
676	5735	2736
677	5742	2727
678	5753	2720
679	5761	2711
680	5769	2702
681	5781	2695
682	5788	2686
683	5795	2677
684	5802	2668
685	5816	2662
686	5823	2653
687	5830	2643
688	5842	2636
689	5851	2628
690	5861	2621
691	5871	2613
692	5880	2605
693	5887	2595
694	5893	2586
695	5903	2578
696	5910	2569
697	5916	2559
698	5923	2550
699	5931	2542
700	5943	2535
701	5954	2527
702	5963	2519
703	5973	2511
704	5980	2502
705	5987	2493
706	5997	2485
707	6006	2477
708	6016	2469
709	6025	2461
710	6034	2453
711	6043	2444
712	6049	2435
713	6061	2428
714	6070	2419
715	6077	2410
716	6086	2402
717	6096	2394
718	6107	2386
719	6113	2377
720	6123	2369
721	6129	2360
722	6138	2351
723	6148	2344
724	6155	2334
725	6161	2325
726	6168	2316
727	6179	2308
728	6189	2300
729	6199	2292
730	6206	2283
731	6214	2275
732	6223	2266
733	6230	2257
734	6239	2249
735	6250	2242
736	6257	2232
737	6264	2223
738	6275	2216
739	6284	2207
740	6290	2198
741	6297	2189
742	6307	2181
743	6315	2173
744	6322	2164
745	6341	2159
746	6353	2151
747	6370	2146
748	6378	2137
749	6384	2128
750	6393	2119
751	6401	2111
752	6408	2102
753	6416	2093
754	6426	2085
755	6434	2076
756	6441	2067
757	6447	2058
758	6456	2050
759	6463	2041
760	6471	2032
761	6479	2023
762	6487	2015
763	6495	2006
764	6501	1997
765	6508	1988
766	6517	1979
767	6525	1971
768	6532	1962
769	6539	1953
770	6549	1945
771	6557	1936
772	6564	1927
