time,event,signal_name1,value
2024-04-03T20:16:35,Signal,FIB_EMA_CROSS,
2024-04-03T20:46:24,Signal,FIB_EMA_CROSS,
2024-04-03T21:30:08,Signal,FIB_EMA_CROSS,
2024-04-04T01:31:29,Signal,FIB_EMA_CROSS,
2024-04-04T15:46:49,Signal,FIB_EMA_CROSS,
2024-04-04T16:05:00,Signal,FIB_EMA_CROSS,
2024-04-04T16:51:00,Signal,FIB_EMA_CROSS,
2024-04-04T17:12:56,Signal,FIB_EMA_CROSS,
2024-04-04T18:15:57,Signal,FIB_EMA_CROSS,
2024-04-04T20:42:21,Signal,FIB_EMA_CROSS,
2024-04-04T20:47:15,Signal,FIB_EMA_CROSS,
2024-04-04T20:49:11,Signal,FIB_EMA_CROSS,
2024-04-04T20:58:15,Signal,FIB_EMA_CROSS,
2024-04-04T21:00:02,Signal,FIB_EMA_CROSS,
2024-04-04T21:04:02,Signal,FIB_EMA_CROSS,
2024-04-04T21:08:01,Signal,FIB_EMA_CROSS,
2024-04-04T21:15:07,Signal,FIB_EMA_CROSS,
2024-04-04T21:17:08,Signal,FIB_EMA_CROSS,
2024-04-04T21:22:25,Signal,FIB_EMA_CROSS,
2024-04-04T21:25:41,Signal,FIB_EMA_CROSS,
2024-04-04T21:35:23,Signal,FIB_EMA_CROSS,
2024-04-04T21:53:17,Signal,FIB_EMA_CROSS,
2024-04-04T21:55:00,Signal,FIB_EMA_CROSS,
2024-04-04T22:07:00,Signal,FIB_EMA_CROSS,
2024-04-04T22:25:17,Signal,FIB_EMA_CROSS,
2024-04-05T01:18:45,Signal,FIB_EMA_CROSS,
2024-04-05T02:00:08,Signal,FIB_EMA_CROSS,
2024-04-05T08:12:47,Signal,FIB_EMA_CROSS,
2024-04-05T08:51:29,Signal,FIB_EMA_CROSS,
2024-04-05T14:30:01,Signal,FIB_EMA_CROSS,
2024-04-05T14:30:01,Signal,FIB_EMA_CROSS,
2024-04-05T14:30:01,Signal,FIB_EMA_CROSS,
2024-04-05T14:30:02,Signal,FIB_EMA_CROSS,
2024-04-05T14:30:02,Signal,FIB_EMA_CROSS,
2024-04-05T14:30:02,Signal,FIB_EMA_CROSS,
2024-04-05T14:32:48,Signal,FIB_EMA_CROSS,
2024-04-05T14:34:18,Signal,FIB_EMA_CROSS,
2024-04-05T14:35:11,Signal,FIB_EMA_CROSS,
2024-04-05T14:36:36,Signal,FIB_EMA_CROSS,
2024-04-05T14:41:51,Signal,FIB_EMA_CROSS,
2024-04-05T15:02:57,Signal,FIB_EMA_CROSS,
2024-04-05T15:07:05,Signal,FIB_EMA_CROSS,
2024-04-05T15:17:29,Signal,FIB_EMA_CROSS,
2024-04-05T15:30:02,Signal,FIB_EMA_CROSS,
2024-04-05T15:36:01,Signal,FIB_EMA_CROSS,
2024-04-05T15:36:52,Signal,FIB_EMA_CROSS,
2024-04-05T15:50:57,Signal,FIB_EMA_CROSS,
2024-04-05T16:25:23,Signal,FIB_EMA_CROSS,
2024-04-05T17:12:25,Signal,FIB_EMA_CROSS,
2024-04-05T17:27:04,Signal,FIB_EMA_CROSS,
2024-04-05T18:25:50,Signal,FIB_EMA_CROSS,
2024-04-05T18:44:25,Signal,FIB_EMA_CROSS,
2024-04-05T19:52:09,Signal,FIB_EMA_CROSS,
2024-04-05T20:28:16,Signal,FIB_EMA_CROSS,
2024-04-05T20:30:23,Signal,FIB_EMA_CROSS,
2024-04-05T20:45:06,Signal,FIB_EMA_CROSS,
2024-04-05T20:55:43,Signal,FIB_EMA_CROSS,
2024-04-05T21:17:24,Signal,FIB_EMA_CROSS,
2024-04-05T21:48:45,Signal,FIB_EMA_CROSS,
2024-04-08T00:01:01,Signal,FIB_EMA_CROSS,
2024-04-08T07:48:13,Signal,FIB_EMA_CROSS,
2024-04-08T08:15:02,Signal,FIB_EMA_CROSS,
2024-04-08T11:07:26,Signal,FIB_EMA_CROSS,
2024-04-08T12:38:25,Signal,FIB_EMA_CROSS,
2024-04-08T15:06:56,Signal,FIB_EMA_CROSS,
2024-04-08T15:32:11,Signal,FIB_EMA_CROSS,
2024-04-08T16:06:40,Signal,FIB_EMA_CROSS,
2024-04-08T16:12:28,Signal,FIB_EMA_CROSS,
2024-04-08T16:16:17,Signal,FIB_EMA_CROSS,
2024-04-08T16:57:34,Signal,FIB_EMA_CROSS,
2024-04-08T17:01:37,Signal,FIB_EMA_CROSS,
2024-04-08T17:36:18,Signal,FIB_EMA_CROSS,
2024-04-08T17:45:23,Signal,FIB_EMA_CROSS,
2024-04-08T18:01:00,Signal,FIB_EMA_CROSS,
2024-04-08T18:11:21,Signal,FIB_EMA_CROSS,
2024-04-08T18:22:38,Signal,FIB_EMA_CROSS,
2024-04-08T19:36:38,Signal,FIB_EMA_CROSS,
2024-04-08T20:04:39,Signal,FIB_EMA_CROSS,
2024-04-08T20:30:50,Signal,FIB_EMA_CROSS,
2024-04-08T21:24:05,Signal,FIB_EMA_CROSS,
2024-04-08T21:52:01,Signal,FIB_EMA_CROSS,
2024-04-09T15:06:35,Signal,FIB_EMA_CROSS,
2024-04-09T15:31:58,Signal,FIB_EMA_CROSS,
2024-04-09T15:33:34,Signal,FIB_EMA_CROSS,
2024-04-09T15:52:42,Signal,FIB_EMA_CROSS,
2024-04-09T16:18:13,Signal,FIB_EMA_CROSS,
2024-04-09T16:25:04,Signal,FIB_EMA_CROSS,
2024-04-09T16:32:19,Signal,FIB_EMA_CROSS,
2024-04-09T16:40:23,Signal,FIB_EMA_CROSS,
2024-04-09T16:46:26,Signal,FIB_EMA_CROSS,
2024-04-09T17:31:49,Signal,FIB_EMA_CROSS,
2024-04-09T19:02:00,Signal,FIB_EMA_CROSS,
2024-04-09T19:25:03,Signal,FIB_EMA_CROSS,
2024-04-09T20:46:00,Signal,FIB_EMA_CROSS,
2024-04-09T21:00:08,Signal,FIB_EMA_CROSS,
2024-04-09T21:34:25,Signal,FIB_EMA_CROSS,
2024-04-09T22:29:19,Signal,FIB_EMA_CROSS,
2024-04-10T07:48:20,Signal,FIB_EMA_CROSS,
2024-04-10T09:38:21,Signal,FIB_EMA_CROSS,
2024-04-10T10:08:13,Signal,FIB_EMA_CROSS,
2024-04-10T14:29:51,Signal,FIB_EMA_CROSS,
2024-04-10T14:30:01,Signal,FIB_EMA_CROSS,
2024-04-10T14:31:49,Signal,FIB_EMA_CROSS,
2024-04-10T14:38:12,Signal,FIB_EMA_CROSS,
2024-04-10T14:39:13,Signal,FIB_EMA_CROSS,
2024-04-10T14:39:49,Signal,FIB_EMA_CROSS,
2024-04-10T14:40:53,Signal,FIB_EMA_CROSS,
2024-04-10T14:41:51,Signal,FIB_EMA_CROSS,
2024-04-10T15:00:17,Signal,FIB_EMA_CROSS,
2024-04-10T15:03:20,Signal,FIB_EMA_CROSS,
2024-04-10T15:05:19,Signal,FIB_EMA_CROSS,
2024-04-10T15:06:11,Signal,FIB_EMA_CROSS,
2024-04-10T15:31:24,Signal,FIB_EMA_CROSS,
2024-04-10T15:39:11,Signal,FIB_EMA_CROSS,
2024-04-10T16:01:51,Signal,FIB_EMA_CROSS,
